owl_id,site,datetime,audio_id,duration,sampling_rate,channels,bit_depth,format,filepath_video,filepath_audio
A84,有利,2026-03-05 01:09:09 UTC,A84 - 有利 - 2026-03-05 01:09:09 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/03050957.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/03050957.wav
A84,有利,2026-03-05 18:47:36 UTC,A84 - 有利 - 2026-03-05 18:47:36 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/03050977.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/03050977.wav
A84,有利,2026-03-12 04:19:15 UTC,A84 - 有利 - 2026-03-12 04:19:15 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/03120910.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/03120910.wav
A84,有利,2026-03-13 03:31:17 UTC,A84 - 有利 - 2026-03-13 03:31:17 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/03130511.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/03130511.wav
A84,有利,2025-07-29 00:22:37 UTC,A84 - 有利 - 2025-07-29 00:22:37 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/07290337.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/07290337.wav
A84,有利,2025-08-01 23:16:14 UTC,A84 - 有利 - 2025-08-01 23:16:14 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/08010685.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/08010685.wav
A84,有利,2025-08-02 00:12:34 UTC,A84 - 有利 - 2025-08-02 00:12:34 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/08020705.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/08020705.wav
A84,有利,2025-08-03 19:37:35 UTC,A84 - 有利 - 2025-08-03 19:37:35 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/08030871.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/08030871.wav
A84,有利,2025-08-05 23:18:40 UTC,A84 - 有利 - 2025-08-05 23:18:40 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/08050298.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/08050298.wav
A84,有利,2025-09-25 04:13:48 UTC,A84 - 有利 - 2025-09-25 04:13:48 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/09250900.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/09250900.wav
A84,有利,2025-10-01 19:30:51 UTC,A84 - 有利 - 2025-10-01 19:30:51 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/10010516.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/10010516.wav
A84,有利,2025-10-03 01:38:56 UTC,A84 - 有利 - 2025-10-03 01:38:56 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/10030948.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/10030948.wav
A84,有利,2025-10-17 19:30:30 UTC,A84 - 有利 - 2025-10-17 19:30:30 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/10170032.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/10170032.wav
A84,有利,2025-10-17 19:43:31 UTC,A84 - 有利 - 2025-10-17 19:43:31 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/10170040.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/10170040.wav
A84,有利,2025-10-18 18:13:51 UTC,A84 - 有利 - 2025-10-18 18:13:51 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/10180100.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/10180100.wav
